Broker,Consumers,Producers,Target,benchmark_start_time_seconds,benchmark_total_messages,benchmark_duration_seconds,benchmark_throughput_msg_per_sec,benchmark_throughput_mb_per_sec,benchmark_latency_p50_seconds,benchmark_latency_p95_seconds,benchmark_latency_p99_seconds
rabbitmq,1,4,Producer,1780161498.0,50000.0,3.077286,16248.08,15.87,0.00024,0.000327,0.000386
rabbitmq,1,0,Consumer,1780161504.0,50000.0,0.404877,123494.16,120.6,15.712654,17.031769,17.134739
rabbitmq,4,4,Producer,1780161512.0,50000.0,3.302575,15139.7,14.78,0.000248,0.000376,0.000475
rabbitmq,4,0,Consumer,1780161517.0,50001.0,0.349378,143114.46,139.76,19.264898,20.563695,20.68288
rabbitmq,16,4,Producer,1780161526.0,50000.0,3.536932,14136.55,13.81,0.000254,0.000432,0.000598
rabbitmq,16,0,Consumer,1780161531.0,50001.0,0.36794,135894.33,132.71,19.335974,20.706479,20.818008
kafka,1,4,Producer,1780161549.0,50000.0,0.133572,374330.19,365.56,0.009681,0.012413,0.014796
kafka,1,0,Consumer,1780161549.0,50000.0,7.705034,6489.26,6.34,0.009001,0.011854,0.014222
kafka,4,4,Producer,1780161562.0,50000.0,0.139467,358506.51,350.1,0.009997,0.011925,0.016737
kafka,4,0,Consumer,1780161562.0,50000.0,2.721701,18369.76,17.94,0.0092,0.011758,0.017405
kafka,16,4,Producer,1780161579.0,50000.0,0.128036,390515.26,381.36,0.009584,0.011627,0.014861
kafka,16,0,Consumer,1780161579.0,50000.0,6.509942,7678.26,7.5,0.00981,0.125708,0.126498
